Country/Region,"WHO Region",Confirmed
Maldives,"South-East Asia",0
Malta,Europe,0
Mauritania,Africa,0
Mauritius,Africa,0
Mexico,Americas,0
Moldova,Europe,0
Monaco,Europe,0
Mongolia,"Western Pacific",0
Montenegro,Europe,0
Morocco,"Eastern Mediterranean",0
Namibia,Africa,0
Nepal,"South-East Asia",0
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
"New Zealand","Western Pacific",0
Nicaragua,Americas,0
Niger,Africa,0
Nigeria,Africa,0
"North Macedonia",Europe,0
Norway,Europe,0
Oman,"Eastern Mediterranean",0
Pakistan,"Eastern Mediterranean",0
Panama,Americas,0
"Papua New Guinea","Western Pacific",0
Paraguay,Americas,0
Peru,Americas,0
Philippines,"Western Pacific",0
Poland,Europe,0
Portugal,Europe,0
Qatar,"Eastern Mediterranean",0
Romania,Europe,0
Russia,Europe,0
Rwanda,Africa,0
"Saint Lucia",Americas,0
"Saint Vincent and the Grenadines",Americas,0
"San Marino",Europe,0
"Saudi Arabia","Eastern Mediterranean",0
Senegal,Africa,0
Serbia,Europe,0
Seychelles,Africa,0
Singapore,"Western Pacific",0
Slovakia,Europe,0
Slovenia,Europe,0
Somalia,"Eastern Mediterranean",0
"South Africa",Africa,0
Spain,Europe,0
"Sri Lanka","South-East Asia",0
Sudan,"Eastern Mediterranean",0
Suriname,Americas,0
Sweden,Europe,0
Switzerland,Europe,0
Taiwan*,"Western Pacific",1
Tanzania,Africa,0
Thailand,"South-East Asia",2
Togo,Africa,0
"Trinidad and Tobago",Americas,0
Tunisia,"Eastern Mediterranean",0
Turkey,Europe,0
Uganda,Africa,0
Ukraine,Europe,0
"United Arab Emirates","Eastern Mediterranean",0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
Uruguay,Americas,0
US,Americas,1
Uzbekistan,Europe,0
Venezuela,Americas,0
Vietnam,"Western Pacific",0
Zambia,Africa,0
Zimbabwe,Africa,0
Dominica,Americas,0
Grenada,Americas,0
Mozambique,Africa,0
Syria,"Eastern Mediterranean",0
Timor-Leste,"South-East Asia",0
Belize,Americas,0
Laos,"Western Pacific",0
Libya,"Eastern Mediterranean",0
"West Bank and Gaza","Eastern Mediterranean",0
Guinea-Bissau,Africa,0
Mali,Africa,0
"Saint Kitts and Nevis",Americas,0
Canada,Americas,0
Canada,Americas,0
Kosovo,Europe,0
Burma,"South-East Asia",0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
Botswana,Africa,0
Burundi,Africa,0
"Sierra Leone",Africa,0
Malawi,Africa,0
"United Kingdom",Europe,0
France,Europe,0
"South Sudan",Africa,0
"Western Sahara",Africa,0
"Sao Tome and Principe",Africa,0
Yemen,"Eastern Mediterranean",0
Comoros,Africa,0
Tajikistan,Europe,0
Lesotho,Africa,0
Afghanistan,"Eastern Mediterranean",0
Albania,Europe,0
Algeria,Africa,0
Andorra,Europe,0
Angola,Africa,0
"Antigua and Barbuda",Americas,0
Argentina,Americas,0
Armenia,Europe,0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Austria,Europe,0
Azerbaijan,Europe,0
Bahamas,Americas,0
Bahrain,"Eastern Mediterranean",0
Bangladesh,"South-East Asia",0
Barbados,Americas,0
Belarus,Europe,0
Belgium,Europe,0
Benin,Africa,0
Bhutan,"South-East Asia",0
Bolivia,Americas,0
"Bosnia and Herzegovina",Europe,0
Brazil,Americas,0
Brunei,"Western Pacific",0
Bulgaria,Europe,0
"Burkina Faso",Africa,0
"Cabo Verde",Africa,0
Cambodia,"Western Pacific",0
Cameroon,Africa,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
"Central African Republic",Africa,0
Chad,Africa,0
Chile,Americas,0
China,"Western Pacific",9
China,"Western Pacific",22
China,"Western Pacific",9
China,"Western Pacific",5
China,"Western Pacific",2
China,"Western Pacific",32
China,"Western Pacific",5
China,"Western Pacific",3
China,"Western Pacific",5
China,"Western Pacific",1
China,"Western Pacific",2
China,"Western Pacific",5
China,"Western Pacific",2
China,"Western Pacific",444
China,"Western Pacific",9
China,"Western Pacific",0
China,"Western Pacific",5
China,"Western Pacific",7
China,"Western Pacific",1
China,"Western Pacific",3
China,"Western Pacific",2
China,"Western Pacific",1
China,"Western Pacific",0
China,"Western Pacific",3
China,"Western Pacific",6
China,"Western Pacific",16
China,"Western Pacific",1
China,"Western Pacific",8
China,"Western Pacific",4
China,"Western Pacific",0
China,"Western Pacific",2
China,"Western Pacific",2
China,"Western Pacific",27
Colombia,Americas,0
"Congo (Brazzaville)",Africa,0
"Congo (Kinshasa)",Africa,0
"Costa Rica",Americas,0
"Cote d'Ivoire",Africa,0
Croatia,Europe,0
Cuba,Americas,0
Cyprus,Europe,0
Czechia,Europe,0
Denmark,Europe,0
Greenland,Europe,0
Denmark,Europe,0
Djibouti,"Eastern Mediterranean",0
"Dominican Republic",Americas,0
Ecuador,Americas,0
Egypt,"Eastern Mediterranean",0
"El Salvador",Americas,0
"Equatorial Guinea",Africa,0
Eritrea,Africa,0
Estonia,Europe,0
Eswatini,Africa,0
Ethiopia,Africa,0
Fiji,"Western Pacific",0
Finland,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
Gabon,Africa,0
Gambia,Africa,0
Georgia,Europe,0
Germany,Europe,0
Ghana,Africa,0
Greece,Europe,0
Guatemala,Americas,0
Guinea,Africa,0
Guyana,Americas,0
Haiti,Americas,0
"Holy See",Europe,0
Honduras,Americas,0
Hungary,Europe,0
Iceland,Europe,0
India,"South-East Asia",0
Indonesia,"South-East Asia",0
Iran,"Eastern Mediterranean",0
Iraq,"Eastern Mediterranean",0
Ireland,Europe,0
Israel,Europe,0
Italy,Europe,0
Jamaica,Americas,0
Japan,"Western Pacific",2
Jordan,"Eastern Mediterranean",0
Kazakhstan,Europe,0
Kenya,Africa,0
"South Korea","Western Pacific",1
Kuwait,"Eastern Mediterranean",0
Kyrgyzstan,Europe,0
Latvia,Europe,0
Lebanon,"Eastern Mediterranean",0
Liberia,Africa,0
Liechtenstein,Europe,0
Lithuania,Europe,0
Luxembourg,Europe,0
Madagascar,Africa,0
Malaysia,"Western Pacific",0
Maldives,"South-East Asia",0
Malta,Europe,0
Mauritania,Africa,0
Mauritius,Africa,0
Mexico,Americas,0
Moldova,Europe,0
Monaco,Europe,0
Mongolia,"Western Pacific",0
Montenegro,Europe,0
Morocco,"Eastern Mediterranean",0
Namibia,Africa,0
Nepal,"South-East Asia",0
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
"New Zealand","Western Pacific",0
Nicaragua,Americas,0
Niger,Africa,0
Nigeria,Africa,0
"North Macedonia",Europe,0
Norway,Europe,0
Oman,"Eastern Mediterranean",0
Pakistan,"Eastern Mediterranean",0
Panama,Americas,0
"Papua New Guinea","Western Pacific",0
Paraguay,Americas,0
Peru,Americas,0
Philippines,"Western Pacific",0
Poland,Europe,0
Portugal,Europe,0
Qatar,"Eastern Mediterranean",0
Romania,Europe,0
Russia,Europe,0
Rwanda,Africa,0
"Saint Lucia",Americas,0
"Saint Vincent and the Grenadines",Americas,0
"San Marino",Europe,0
"Saudi Arabia","Eastern Mediterranean",0
Senegal,Africa,0
Serbia,Europe,0
Seychelles,Africa,0
Singapore,"Western Pacific",1
Slovakia,Europe,0
Slovenia,Europe,0
Somalia,"Eastern Mediterranean",0
"South Africa",Africa,0
Spain,Europe,0
"Sri Lanka","South-East Asia",0
Sudan,"Eastern Mediterranean",0
Suriname,Americas,0
Sweden,Europe,0
Switzerland,Europe,0
Taiwan*,"Western Pacific",1
Tanzania,Africa,0
Thailand,"South-East Asia",3
Togo,Africa,0
"Trinidad and Tobago",Americas,0
Tunisia,"Eastern Mediterranean",0
Turkey,Europe,0
Uganda,Africa,0
Ukraine,Europe,0
"United Arab Emirates","Eastern Mediterranean",0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
Uruguay,Americas,0
US,Americas,1
Uzbekistan,Europe,0
Venezuela,Americas,0
Vietnam,"Western Pacific",2
Zambia,Africa,0
Zimbabwe,Africa,0
Dominica,Americas,0
Grenada,Americas,0
Mozambique,Africa,0
Syria,"Eastern Mediterranean",0
Timor-Leste,"South-East Asia",0
Belize,Americas,0
Laos,"Western Pacific",0
Libya,"Eastern Mediterranean",0
"West Bank and Gaza","Eastern Mediterranean",0
Guinea-Bissau,Africa,0
Mali,Africa,0
"Saint Kitts and Nevis",Americas,0
Canada,Americas,0
Canada,Americas,0
Kosovo,Europe,0
Burma,"South-East Asia",0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
Botswana,Africa,0
Burundi,Africa,0
"Sierra Leone",Africa,0
Malawi,Africa,0
"United Kingdom",Europe,0
France,Europe,0
"South Sudan",Africa,0
"Western Sahara",Africa,0
"Sao Tome and Principe",Africa,0
Yemen,"Eastern Mediterranean",0
Comoros,Africa,0
Tajikistan,Europe,0
Lesotho,Africa,0
Afghanistan,"Eastern Mediterranean",0
Albania,Europe,0
Algeria,Africa,0
Andorra,Europe,0
Angola,Africa,0
"Antigua and Barbuda",Americas,0
Argentina,Americas,0
Armenia,Europe,0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Austria,Europe,0
Azerbaijan,Europe,0
Bahamas,Americas,0
Bahrain,"Eastern Mediterranean",0
Bangladesh,"South-East Asia",0
Barbados,Americas,0
Belarus,Europe,0
Belgium,Europe,0
Benin,Africa,0
Bhutan,"South-East Asia",0
Bolivia,Americas,0
"Bosnia and Herzegovina",Europe,0
Brazil,Americas,0
Brunei,"Western Pacific",0
Bulgaria,Europe,0
"Burkina Faso",Africa,0
"Cabo Verde",Africa,0
Cambodia,"Western Pacific",0
Cameroon,Africa,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
"Central African Republic",Africa,0
Chad,Africa,0
Chile,Americas,0
China,"Western Pacific",15
China,"Western Pacific",36
China,"Western Pacific",27
China,"Western Pacific",10
China,"Western Pacific",2
China,"Western Pacific",53
China,"Western Pacific",23
China,"Western Pacific",3
China,"Western Pacific",8
China,"Western Pacific",2
China,"Western Pacific",4
China,"Western Pacific",9
China,"Western Pacific",2
China,"Western Pacific",549
China,"Western Pacific",24
China,"Western Pacific",1
China,"Western Pacific",9
China,"Western Pacific",18
China,"Western Pacific",3
China,"Western Pacific",4
China,"Western Pacific",2
China,"Western Pacific",2
China,"Western Pacific",0
China,"Western Pacific",5
China,"Western Pacific",15
China,"Western Pacific",20
China,"Western Pacific",1
China,"Western Pacific",15
China,"Western Pacific",8
China,"Western Pacific",0
China,"Western Pacific",2
China,"Western Pacific",5
China,"Western Pacific",43
Colombia,Americas,0
"Congo (Brazzaville)",Africa,0
"Congo (Kinshasa)",Africa,0
"Costa Rica",Americas,0
"Cote d'Ivoire",Africa,0
Croatia,Europe,0
Cuba,Americas,0
Cyprus,Europe,0
Czechia,Europe,0
Denmark,Europe,0
Greenland,Europe,0
Denmark,Europe,0
Djibouti,"Eastern Mediterranean",0
"Dominican Republic",Americas,0
Ecuador,Americas,0
Egypt,"Eastern Mediterranean",0
"El Salvador",Americas,0
"Equatorial Guinea",Africa,0
Eritrea,Africa,0
Estonia,Europe,0
Eswatini,Africa,0
Ethiopia,Africa,0
Fiji,"Western Pacific",0
Finland,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,2
Gabon,Africa,0
Gambia,Africa,0
Georgia,Europe,0
Germany,Europe,0
Ghana,Africa,0
Greece,Europe,0
Guatemala,Americas,0
Guinea,Africa,0
Guyana,Americas,0
Haiti,Americas,0
"Holy See",Europe,0
Honduras,Americas,0
Hungary,Europe,0
Iceland,Europe,0
India,"South-East Asia",0
Indonesia,"South-East Asia",0
Iran,"Eastern Mediterranean",0
Iraq,"Eastern Mediterranean",0
Ireland,Europe,0
Israel,Europe,0
Italy,Europe,0
Jamaica,Americas,0
Japan,"Western Pacific",2
Jordan,"Eastern Mediterranean",0
Kazakhstan,Europe,0
Kenya,Africa,0
"South Korea","Western Pacific",2
Kuwait,"Eastern Mediterranean",0
Kyrgyzstan,Europe,0
Latvia,Europe,0
Lebanon,"Eastern Mediterranean",0
Liberia,Africa,0
Liechtenstein,Europe,0
Lithuania,Europe,0
Luxembourg,Europe,0
Madagascar,Africa,0
Malaysia,"Western Pacific",0
Maldives,"South-East Asia",0
Malta,Europe,0
Mauritania,Africa,0
Mauritius,Africa,0
Mexico,Americas,0
Moldova,Europe,0
Monaco,Europe,0
Mongolia,"Western Pacific",0
Montenegro,Europe,0
Morocco,"Eastern Mediterranean",0
Namibia,Africa,0
Nepal,"South-East Asia",0
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
"New Zealand","Western Pacific",0
Nicaragua,Americas,0
Niger,Africa,0
Nigeria,Africa,0
"North Macedonia",Europe,0
Norway,Europe,0
Oman,"Eastern Mediterranean",0
Pakistan,"Eastern Mediterranean",0
Panama,Americas,0
"Papua New Guinea","Western Pacific",0
Paraguay,Americas,0
Peru,Americas,0
Philippines,"Western Pacific",0
Poland,Europe,0
Portugal,Europe,0
Qatar,"Eastern Mediterranean",0
Romania,Europe,0
Russia,Europe,0
Rwanda,Africa,0
"Saint Lucia",Americas,0
"Saint Vincent and the Grenadines",Americas,0
"San Marino",Europe,0
"Saudi Arabia","Eastern Mediterranean",0
Senegal,Africa,0
Serbia,Europe,0
Seychelles,Africa,0
Singapore,"Western Pacific",3
Slovakia,Europe,0
Slovenia,Europe,0
Somalia,"Eastern Mediterranean",0
"South Africa",Africa,0
Spain,Europe,0
"Sri Lanka","South-East Asia",0
Sudan,"Eastern Mediterranean",0
Suriname,Americas,0
Sweden,Europe,0
Switzerland,Europe,0
Taiwan*,"Western Pacific",3
Tanzania,Africa,0
Thailand,"South-East Asia",5
Togo,Africa,0
"Trinidad and Tobago",Americas,0
Tunisia,"Eastern Mediterranean",0
Turkey,Europe,0
Uganda,Africa,0
Ukraine,Europe,0
"United Arab Emirates","Eastern Mediterranean",0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
Uruguay,Americas,0
US,Americas,2
Uzbekistan,Europe,0
Venezuela,Americas,0
Vietnam,"Western Pacific",2
Zambia,Africa,0
Zimbabwe,Africa,0
Dominica,Americas,0
Grenada,Americas,0
Mozambique,Africa,0
Syria,"Eastern Mediterranean",0
Timor-Leste,"South-East Asia",0
Belize,Americas,0
Laos,"Western Pacific",0
Libya,"Eastern Mediterranean",0
"West Bank and Gaza","Eastern Mediterranean",0
Guinea-Bissau,Africa,0
Mali,Africa,0
"Saint Kitts and Nevis",Americas,0
Canada,Americas,0
Canada,Americas,0
Kosovo,Europe,0
Burma,"South-East Asia",0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
Botswana,Africa,0
Burundi,Africa,0
"Sierra Leone",Africa,0
Malawi,Africa,0
"United Kingdom",Europe,0
France,Europe,0
"South Sudan",Africa,0
"Western Sahara",Africa,0
"Sao Tome and Principe",Africa,0
Yemen,"Eastern Mediterranean",0
Comoros,Africa,0
Tajikistan,Europe,0
Lesotho,Africa,0
Afghanistan,"Eastern Mediterranean",0
Albania,Europe,0
Algeria,Africa,0
Andorra,Europe,0
Angola,Africa,0
"Antigua and Barbuda",Americas,0
Argentina,Americas,0
Armenia,Europe,0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Austria,Europe,0
Azerbaijan,Europe,0
Bahamas,Americas,0
Bahrain,"Eastern Mediterranean",0
Bangladesh,"South-East Asia",0
Barbados,Americas,0
Belarus,Europe,0
Belgium,Europe,0
Benin,Africa,0
Bhutan,"South-East Asia",0
Bolivia,Americas,0
"Bosnia and Herzegovina",Europe,0
Brazil,Americas,0
Brunei,"Western Pacific",0
Bulgaria,Europe,0
"Burkina Faso",Africa,0
"Cabo Verde",Africa,0
Cambodia,"Western Pacific",0
Cameroon,Africa,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
"Central African Republic",Africa,0
Chad,Africa,0
Chile,Americas,0
China,"Western Pacific",39
China,"Western Pacific",41
China,"Western Pacific",57
China,"Western Pacific",18
China,"Western Pacific",4
China,"Western Pacific",78
China,"Western Pacific",23
China,"Western Pacific",4
China,"Western Pacific",19
China,"Western Pacific",8
China,"Western Pacific",9
China,"Western Pacific",32
China,"Western Pacific",5
China,"Western Pacific",761
China,"Western Pacific",43
China,"Western Pacific",7
China,"Western Pacific",18
China,"Western Pacific",18
China,"Western Pacific",4
China,"Western Pacific",17
China,"Western Pacific",2
China,"Western Pacific",3
China,"Western Pacific",1
China,"Western Pacific",15
China,"Western Pacific",27
China,"Western Pacific",33
China,"Western Pacific",6
China,"Western Pacific",28
China,"Western Pacific",10
China,"Western Pacific",0
China,"Western Pacific",3
China,"Western Pacific",11
China,"Western Pacific",62
Colombia,Americas,0
"Congo (Brazzaville)",Africa,0
"Congo (Kinshasa)",Africa,0
"Costa Rica",Americas,0
"Cote d'Ivoire",Africa,0
Croatia,Europe,0
Cuba,Americas,0
Cyprus,Europe,0
Czechia,Europe,0
Denmark,Europe,0
Greenland,Europe,0
Denmark,Europe,0
Djibouti,"Eastern Mediterranean",0
"Dominican Republic",Americas,0
Ecuador,Americas,0
Egypt,"Eastern Mediterranean",0
"El Salvador",Americas,0
"Equatorial Guinea",Africa,0
Eritrea,Africa,0
Estonia,Europe,0
Eswatini,Africa,0
Ethiopia,Africa,0
Fiji,"Western Pacific",0
Finland,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,3
Gabon,Africa,0
Gambia,Africa,0
Georgia,Europe,0
Germany,Europe,0
Ghana,Africa,0
Greece,Europe,0
Guatemala,Americas,0
Guinea,Africa,0
Guyana,Americas,0
Haiti,Americas,0
"Holy See",Europe,0
Honduras,Americas,0
Hungary,Europe,0
Iceland,Europe,0
India,"South-East Asia",0
Indonesia,"South-East Asia",0
Iran,"Eastern Mediterranean",0
Iraq,"Eastern Mediterranean",0
Ireland,Europe,0
Israel,Europe,0
Italy,Europe,0
Jamaica,Americas,0
Japan,"Western Pacific",2
Jordan,"Eastern Mediterranean",0
Kazakhstan,Europe,0
Kenya,Africa,0
"South Korea","Western Pacific",2
Kuwait,"Eastern Mediterranean",0
Kyrgyzstan,Europe,0
Latvia,Europe,0
Lebanon,"Eastern Mediterranean",0
Liberia,Africa,0
Liechtenstein,Europe,0
Lithuania,Europe,0
Luxembourg,Europe,0
Madagascar,Africa,0
Malaysia,"Western Pacific",3
Maldives,"South-East Asia",0
Malta,Europe,0
Mauritania,Africa,0
Mauritius,Africa,0
Mexico,Americas,0
Moldova,Europe,0
Monaco,Europe,0
Mongolia,"Western Pacific",0
Montenegro,Europe,0
Morocco,"Eastern Mediterranean",0
Namibia,Africa,0
Nepal,"South-East Asia",1
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
Netherlands,Europe,0
"New Zealand","Western Pacific",0
Nicaragua,Americas,0
Niger,Africa,0
Nigeria,Africa,0
"North Macedonia",Europe,0
Norway,Europe,0
Oman,"Eastern Mediterranean",0
Pakistan,"Eastern Mediterranean",0
Panama,Americas,0
"Papua New Guinea","Western Pacific",0
Paraguay,Americas,0
Peru,Americas,0
Philippines,"Western Pacific",0
Poland,Europe,0
Portugal,Europe,0
Qatar,"Eastern Mediterranean",0
Romania,Europe,0
Russia,Europe,0
Rwanda,Africa,0
"Saint Lucia",Americas,0
"Saint Vincent and the Grenadines",Americas,0
"San Marino",Europe,0
"Saudi Arabia","Eastern Mediterranean",0
Senegal,Africa,0
Serbia,Europe,0
Seychelles,Africa,0
Singapore,"Western Pacific",3
Slovakia,Europe,0
Slovenia,Europe,0
Somalia,"Eastern Mediterranean",0
"South Africa",Africa,0
Spain,Europe,0
"Sri Lanka","South-East Asia",0
Sudan,"Eastern Mediterranean",0
Suriname,Americas,0
Sweden,Europe,0
Switzerland,Europe,0
Taiwan*,"Western Pacific",3
Tanzania,Africa,0
Thailand,"South-East Asia",7
Togo,Africa,0
"Trinidad and Tobago",Americas,0
Tunisia,"Eastern Mediterranean",0
Turkey,Europe,0
Uganda,Africa,0
Ukraine,Europe,0
"United Arab Emirates","Eastern Mediterranean",0
"United Kingdom",Europe,0
"United Kingdom",Europe,0
